year,fire_id,area_ha,date,date_l,date_u,datesrc,name,obs,collec
2021,2021_790,12.1952973492132,2020-07-28,2020-06-01,2020-09-23,landsat,2021_790,NA,1
2021,2021_1057,59.0053934886161,2020-10-06,2020-09-24,2020-10-17,landsat,2021_1057,NA,1
2021,2021_1191,18.3639081119132,2020-10-10,2020-09-24,2020-10-25,landsat,2021_1191,NA,1
2021,2021_1788394241,12.6386295171052,2020-10-13,2020-10-09,2020-10-17,landsat,2021_1788394241,NA,2
2021,2021_1301,88.2098881699931,2020-10-25,2020-10-17,2020-11-03,landsat,2021_1301,NA,1
2021,2021_1075,15.3850417069957,2020-11-02,2020-10-25,2020-11-10,landsat,2021_1075,NA,1
2021,2021_1908569336,41.1398340857651,2020-11-14,2020-11-10,2020-11-18,landsat,2021_1908569336,NA,2
2021,2021_793,67.9321039970857,2021-01-09,2021-01-05,2021-01-13,landsat,2021_793,NA,1
2021,2021_2085477627,34.6224857406556,2021-01-18,2021-01-18,2021-01-18,modis,2021_2085477627,NA,2
2021,2021_1839908587,41.7519254693018,2021-01-29,2021-01-21,2021-02-06,landsat,2021_1839908587,NA,2
2021,2021_2146405150_W,6058.47629652868,2021-01-31,2021-01-25,2021-02-07,modis,Comarca Andina 2021,NA,1
2021,2021_1271,47.5051027966381,2021-02-19,2021-02-15,2021-02-23,landsat,2021_1271,NA,1
2021,2021_1229,2174.87073843276,2021-02-27,2021-02-23,2021-03-02,landsat,2021_1229,NA,1
2021,2021_1233,44.5480265612702,2021-02-27,2021-02-23,2021-03-02,landsat,2021_1233,NA,1
2021,2021_911,21.8931378002593,2021-03-06,2021-02-22,2021-03-18,landsat,2021_911,NA,1
2021,2021_936,14.4720528051834,2021-03-06,2021-02-22,2021-03-18,landsat,2021_936,NA,1
2021,2021_865,8566.66587669287,2021-03-10,2021-03-02,2021-03-18,landsat,2021_865,NA,1
2021,2021_2146405150_E,7975.92126430818,2021-03-10,2021-03-02,2021-03-18,landsat,Comarca Andina 2021,NA,2
2021,2021_1071,245.332135657694,2021-03-11,2021-03-03,2021-03-18,landsat,2021_1071,NA,1
2021,2021_1273,19.3620513476468,2021-03-11,2021-03-03,2021-03-18,landsat,2021_1273,NA,1
2021,2021_1258,11.7604177533211,2021-03-18,2021-03-18,2021-03-18,modis,2021_1258,NA,1
2021,2021_873,32.7409149320939,2021-03-26,2021-03-18,2021-04-03,landsat,2021_873,NA,1
2022,2022_-2115763606,14.9456820630634,2021-09-23,2021-09-19,2021-09-27,landsat,2022_-2115763606,NA,2
2022,2022_1573853482,38.7604794520078,2021-09-23,2021-09-19,2021-09-26,landsat,2022_1573853482,NA,2
2022,2022_497469475,24.4884871735514,2022-01-01,2021-12-24,2022-01-08,landsat,2022_497469475,NA,2
2022,2022_2125136700_r,7103.51160538184,2022-01-04,2021-12-27,2022-01-13,modis,Complejo Lago Martin,NA,2
2022,2022_1592417651,54.1021132535214,2022-02-14,2022-02-10,2022-02-17,landsat,2022_1592417651,NA,2
